Place,Amount,Vio
아파트 연립다세대,551,0.094738652
단독주택,578,0.099381018
노상,950,0.163342503
상점,191,0.03284044
숙박업소 목욕탕,277,0.047627235
유흥접객업소,679,0.116746905
사무실,152,0.026134801
역 대합실,178,0.030605227
교통수단,829,0.142537827
유원지,68,0.011691884
학교,47,0.008081155
금융기관,4,0.000687758
기타,1312,0.225584594
