Species,Length,Value
종로구,살인,2
종로구,강도,8
종로구,강간/강제추행,228
종로구,절도,1313
종로구,폭행,1587
중구,살인,1
중구,강도,5
중구,강간/강제추행,194
중구,절도,1365
중구,폭행,1506
용산구,살인,5
용산구,강도,7
용산구,강간/강제추행,280
용산구,절도,978
용산구,폭행,1697
성동구,살인,2
성동구,강도,2
성동구,강간/강제추행,125
성동구,절도,979
성동구,폭행,1086
광진구,살인,6
광진구,강도,0
광진구,강간/강제추행,230
광진구,절도,1670
광진구,폭행,1713
동대문구,살인,4
동대문구,강도,2
동대문구,강간/강제추행,125
동대문구,절도,1556
동대문구,폭행,1566
중랑구,살인,2
중랑구,강도,2
중랑구,강간/강제추행,150
중랑구,절도,1508
중랑구,폭행,1937
성북구,살인,3
성북구,강도,1
성북구,강간/강제추행,158
성북구,절도,1143
성북구,폭행,1444
강북구,살인,5
강북구,강도,5
강북구,강간/강제추행,177
강북구,절도,872
강북구,폭행,1773
도봉구,살인,3
도봉구,강도,0
도봉구,강간/강제추행,70
도봉구,절도,969
도봉구,폭행,1099
노원구,살인,3
노원구,강도,3
노원구,강간/강제추행,180
노원구,절도,1504
노원구,폭행,2206
은평구,살인,4
은평구,강도,5
은평구,강간/강제추행,176
은평구,절도,1497
은평구,폭행,1805
서대문구,살인,5
서대문구,강도,6
서대문구,강간/강제추행,157
서대문구,절도,1114
서대문구,폭행,1092
마포구,살인,2
마포구,강도,2
마포구,강간/강제추행,436
마포구,절도,1451
마포구,폭행,2205
양천구,살인,2
양천구,강도,3
양천구,강간/강제추행,114
양천구,절도,1474
양천구,폭행,1576
강서구,살인,3
강서구,강도,7
강서구,강간/강제추행,261
강서구,절도,1991
강서구,폭행,2401
구로구,살인,11
구로구,강도,8
구로구,강간/강제추행,217
구로구,절도,1565
구로구,폭행,2056
금천구,살인,2
금천구,강도,3
금천구,강간/강제추행,127
금천구,절도,1118
금천구,폭행,1327
영등포구,살인,5
영등포구,강도,10
영등포구,강간/강제추행,327
영등포구,절도,2062
영등포구,폭행,2415
동작구,살인,2
동작구,강도,5
동작구,강간/강제추행,212
동작구,절도,1195
동작구,폭행,1321
관악구,살인,10
관악구,강도,9
관악구,강간/강제추행,327
관악구,절도,1966
관악구,폭행,2567
서초구,살인,3
서초구,강도,3
서초구,강간/강제추행,431
서초구,절도,1921
서초구,폭행,2101
강남구,살인,12
강남구,강도,11
강남구,강간/강제추행,667
강남구,절도,2495
강남구,폭행,3762
송파구,살인,2
송파구,강도,5
송파구,강간/강제추행,290
송파구,절도,2201
송파구,폭행,2669
강동구,살인,5
강동구,강도,5
강동구,강간/강제추행,157
강동구,절도,1672
강동구,폭행,1872
