Species,Length,Value
종로구,총계,1808
중구,총계,1964
용산구,총계,2647
성동구,총계,3432
광진구,총계,3293
동대문구,총계,2564
중랑구,총계,3845
성북구,총계,3751
강북구,총계,3184
도봉구,총계,1959
노원구,총계,2165
은평구,총계,4103
서대문구,총계,3006
마포구,총계,2460
양천구,총계,3609
강서구,총계,3186
구로구,총계,4087
금천구,총계,2684
영등포구,총계,3820
동작구,총계,2383
관악구,총계,4098
서초구,총계,3180
강남구,총계,6495
송파구,총계,2821
강동구,총계,3088
