Place,Amount,Vio
아파트 연립다세대,30,0.288461538
단독주택,26,0.25
노상,17,0.163461538
상점,2,0.019230769
숙박업소 목욕탕,0,0
유흥접객업소,5,0.048076923
사무실,5,0.048076923
역 대합실,2,0.019230769
교통수단,1,0.009615385
유원지,1,0.009615385
학교,0,0
금융기관,0,0
기타,15,0.144230769
