Species,Length,Value,,,,,,,,,,
영등포구,세대당 인구(명),1.98,,,,,,,,,,
영등포구,65세 이상 고령자(명),66014,,,,,,,,,,
영등포구,인구밀도,2,,,,,,,,,,
동작구,세대(세대),186534,,,,,,,,,,
동작구,계(명),390377,,,,,,,,,,
동작구,한국인(명),380201,,,,,,,,,,
동작구,등록외국인(명),10176,,,,,,,,,,
동작구,세대당 인구(명),2.04,,,,,,,,,,
동작구,65세 이상 고령자(명),68766,,,,,,,,,,
동작구,인구밀도,2,,,,,,,,,,
관악구,세대(세대),285914,,,,,,,,,,
관악구,계(명),502628,,,,,,,,,,
관악구,한국인(명),487815,,,,,,,,,,
관악구,등록외국인(명),14813,,,,,,,,,,
관악구,세대당 인구(명),1.71,,,,,,,,,,
관악구,65세 이상 고령자(명),83420,,,,,,,,,,
관악구,인구밀도,2,,,,,,,,,,
서초구,세대(세대),168234,,,,,,,,,,
서초구,계(명),408979,,,,,,,,,,
서초구,한국인(명),404831,,,,,,,,,,
서초구,등록외국인(명),4148,,,,,,,,,,
서초구,세대당 인구(명),2.41,,,,,,,,,,
서초구,65세 이상 고령자(명),63328,,,,,,,,,,
서초구,인구밀도,2,,,,,,,,,,
강남구,세대(세대),234735,,,,,,,,,,
강남구,계(명),537817,,,,,,,,,,
강남구,한국인(명),532798,,,,,,,,,,
강남구,등록외국인(명),5019,,,,,,,,,,
강남구,세대당 인구(명),2.27,,,,,,,,,,
강남구,65세 이상 고령자(명),83097,,,,,,,,,,
강남구,인구밀도,2,,,,,,,,,,
송파구,세대(세대),285489,,,,,,,,,,
송파구,계(명),663704,,,,,,,,,,
송파구,한국인(명),658006,,,,,,,,,,
송파구,등록외국인(명),5698,,,,,,,,,,
송파구,세대당 인구(명),2.3,,,,,,,,,,
송파구,65세 이상 고령자(명),105161,,,,,,,,,,
송파구,인구밀도,2,,,,,,,,,,
강동구,세대(세대),202637,,,,,,,,,,
강동구,계(명),464027,,,,,,,,,,
강동구,한국인(명),459982,,,,,,,,,,
강동구,등록외국인(명),4045,,,,,,,,,,
강동구,세대당 인구(명),2.27,,,,,,,,,,
강동구,65세 이상 고령자(명),79706,,,,,,,,,,
강동구,인구밀도,2,,,,,,,,,,
