Species,Length.type,Value
강력범,발생,6254
강력범,검거,5745
절도범,발생,37579
절도범,검거,20205
폭력범,발생,46783
폭력범,검거,39338
지능범,발생,78566
지능범,검거,38584
풍속범,발생,939
풍속범,검거,760
기타형사범,발생,26162
기타형사범,검거,16620
특별법범,발생,83224
특별법범,검거,71288
