Species,Length,Value
아파트 연립다세대,살인,9781
단독주택,살인,7906
노상,살인,29320
상점,살인,10556
숙박업소 목욕탕,살인,980
유흥접객업소,살인,5939
사무실,살인,1630
역 대합실,살인,1073
교통수단,살인,2897
유원지,살인,962
학교,살인,428
금융기관,살인,648
기타,살인,18279
