Place,Amount,Vio
아파트 연립다세대,6302,0.134707052
단독주택,5712,0.122095633
노상,16872,0.360643824
상점,1356,0.028984888
숙박업소 목욕탕,364,0.007780604
유흥접객업소,3565,0.076202894
사무실,1048,0.0224013
역 대합실,544,0.011628156
교통수단,1058,0.022615052
유원지,406,0.008678366
학교,192,0.004104055
금융기관,65,0.001389394
기타,9299,0.198768784
