Species,Length,Value
종로구,경찰청,1
종로구,경찰서,2
종로구,지구대파출소치안센터,22
중구,경찰청,0
중구,경찰서,2
중구,지구대파출소치안센터,18
용산구,경찰청,0
용산구,경찰서,1
용산구,지구대파출소치안센터,12
성동구,경찰청,0
성동구,경찰서,1
성동구,지구대파출소치안센터,15
광진구,경찰청,0
광진구,경찰서,1
광진구,지구대파출소치안센터,12
동대문구,경찰청,0
동대문구,경찰서,1
동대문구,지구대파출소치안센터,20
중랑구,경찰청,0
중랑구,경찰서,1
중랑구,지구대파출소치안센터,17
성북구,경찰청,0
성북구,경찰서,2
성북구,지구대파출소치안센터,24
강북구,경찰청,0
강북구,경찰서,1
강북구,지구대파출소치안센터,14
도봉구,경찰청,0
도봉구,경찰서,1
도봉구,지구대파출소치안센터,9
노원구,경찰청,0
노원구,경찰서,1
노원구,지구대파출소치안센터,16
은평구,경찰청,0
은평구,경찰서,2
은평구,지구대파출소치안센터,20
서대문구,경찰청,1
서대문구,경찰서,1
서대문구,지구대파출소치안센터,10
마포구,경찰청,0
마포구,경찰서,1
마포구,지구대파출소치안센터,15
양천구,경찰청,0
양천구,경찰서,1
양천구,지구대파출소치안센터,15
강서구,경찰청,0
강서구,경찰서,1
강서구,지구대파출소치안센터,12
구로구,경찰청,0
구로구,경찰서,1
구로구,지구대파출소치안센터,17
금천구,경찰청,0
금천구,경찰서,1
금천구,지구대파출소치안센터,12
영등포구,경찰청,0
영등포구,경찰서,1
영등포구,지구대파출소치안센터,15
동작구,경찰청,0
동작구,경찰서,1
동작구,지구대파출소치안센터,17
관악구,경찰청,0
관악구,경찰서,1
관악구,지구대파출소치안센터,18
서초구,경찰청,0
서초구,경찰서,2
서초구,지구대파출소치안센터,19
강남구,경찰청,0
강남구,경찰서,2
강남구,지구대파출소치안센터,21
송파구,경찰청,0
송파구,경찰서,1
송파구,지구대파출소치안센터,21
강동구,경찰청,0
강동구,경찰서,1
강동구,지구대파출소치안센터,16
