Species,Length,Value
아파트 연립다세대,살인,30
아파트 연립다세대,강도,12
아파트 연립다세대,강간/강제추행,551
아파트 연립다세대,절도,2886
아파트 연립다세대,폭행,6302
단독주택,살인,26
단독주택,강도,11
단독주택,강간/강제추행,578
단독주택,절도,1579
단독주택,폭행,5712
노상,살인,17
노상,강도,39
노상,강간/강제추행,950
노상,절도,11442
노상,폭행,16872
상점,살인,2
상점,강도,16
상점,강간/강제추행,191
상점,절도,8991
상점,폭행,1356
숙박업소 목욕탕,살인,0
숙박업소 목욕탕,강도,2
숙박업소 목욕탕,강간/강제추행,277
숙박업소 목욕탕,절도,337
숙박업소 목욕탕,폭행,364
유흥접객업소,살인,5
유흥접객업소,강도,6
유흥접객업소,강간/강제추행,679
유흥접객업소,절도,1684
유흥접객업소,폭행,3565
사무실,살인,5
사무실,강도,5
사무실,강간/강제추행,152
사무실,절도,420
사무실,폭행,1048
역 대합실,살인,2
역 대합실,강도,1
역 대합실,강간/강제추행,178
역 대합실,절도,348
역 대합실,폭행,544
교통수단,살인,1
교통수단,강도,2
교통수단,강간/강제추행,829
교통수단,절도,1007
교통수단,폭행,1058
유원지,살인,1
유원지,강도,0
유원지,강간/강제추행,68
유원지,절도,487
유원지,폭행,406
학교,살인,0
학교,강도,0
학교,강간/강제추행,47
학교,절도,189
학교,폭행,192
금융기관,살인,0
금융기관,강도,1
금융기관,강간/강제추행,4
금융기관,절도,578
금융기관,폭행,65
기타,살인,15
기타,강도,22
기타,강간/강제추행,1312
기타,절도,7631
기타,폭행,9299
