Place,Amount,Vio
아파트 연립다세대,2886,0.076798212
단독주택,1579,0.042018148
노상,11442,0.304478565
상점,8991,0.239255967
숙박업소 목욕탕,337,0.008967775
유흥접객업소,1684,0.044812262
사무실,420,0.011176455
역 대합실,348,0.009260491
교통수단,1007,0.026796881
유원지,487,0.012959366
학교,189,0.005029405
금융기관,578,0.015380931
기타,7631,0.203065542
